epoch,lr-Ranger,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.03,0,,,,,,
0,,2,,1.334718108177185,13.659869194030762,1.340775728225708,1.9682613611221313,1.334718108177185
0,,2,1.0784615278244019,,,,,
,0.03,3,,,,,,
1,,5,,1.282929539680481,13.1062593460083,1.2891671657562256,1.9669666290283203,1.282929539680481
1,,5,1.2333229780197144,,,,,
,0.03,6,,,,,,
2,,8,,0.5712808966636658,5.464807510375977,0.5837142467498779,1.9243907928466797,0.5712808966636658
2,,8,0.8854315280914307,,,,,
,0.03,9,,,,,,
3,,11,,0.48288020491600037,4.516529560089111,0.497303307056427,1.9099379777908325,0.48288020491600037
3,,11,0.45790529251098633,,,,,
,0.03,12,,,,,,
4,,14,,0.33958324790000916,4.375499248504639,0.3604455292224884,1.1501717567443848,0.33958324790000916
4,,14,0.3147032856941223,,,,,
,0.03,15,,,,,,
5,,17,,0.14464421570301056,2.146369218826294,0.17690391838550568,0.812791109085083,0.14464421570301056
5,,17,0.34290599822998047,,,,,
,0.03,18,,,,,,
6,,20,,0.10861913114786148,1.3786529302597046,0.1302558332681656,0.7403523921966553,0.10861913114786148
6,,20,0.20791970193386078,,,,,
,0.03,21,,,,,,
7,,23,,0.10738404840230942,1.3854132890701294,0.12935186922550201,0.7336466312408447,0.10738404840230942
7,,23,0.2033870965242386,,,,,
,0.03,24,,,,,,
8,,26,,0.21727769076824188,1.6508780717849731,0.2452777773141861,1.7993193864822388,0.21727769076824188
8,,26,0.19712339341640472,,,,,
