epoch,lr-Adam,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0001,0,,,,,,
0,,2,,0.43577873706817627,5.441669940948486,0.45382505655288696,1.252038598060608,0.20595717430114746
0,,2,0.1153470128774643,,,,,
,0.0001,3,,,,,,
1,,5,,0.35162535309791565,4.534234523773193,0.3738064169883728,1.1614166498184204,0.1397312432527542
1,,5,0.09388816356658936,,,,,
,0.0001,6,,,,,,
2,,8,,0.2842354476451874,3.8048484325408936,0.3111415207386017,1.0711873769760132,0.09680905193090439
2,,8,0.08611956238746643,,,,,
,0.0001,9,,,,,,
3,,11,,0.23463308811187744,3.26448917388916,0.2662370502948761,0.9913557171821594,0.0708821639418602
3,,11,0.08578561246395111,,,,,
,0.0001,12,,,,,,
4,,14,,0.21670682728290558,3.053698778152466,0.24894289672374725,0.9607382416725159,0.06197256222367287
4,,14,0.08023127168416977,,,,,
,0.0001,15,,,,,,
5,,17,,0.20040558278560638,2.857787847518921,0.2329927682876587,0.9312674403190613,0.05428563058376312
5,,17,0.07598321884870529,,,,,
,0.0001,18,,,,,,
6,,20,,0.170834019780159,2.4840126037597656,0.20306766033172607,0.8732469081878662,0.04123647138476372
6,,20,0.07610482722520828,,,,,
,0.0001,21,,,,,,
7,,23,,0.1395559459924698,2.0376932621002197,0.16933688521385193,0.8055293560028076,0.028674980625510216
7,,23,0.0748409554362297,,,,,
,0.0001,24,,,,,,
8,,26,,0.12534861266613007,1.7971261739730835,0.15275408327579498,0.7730226516723633,0.02333381026983261
8,,26,0.0734991803765297,,,,,
,0.0001,27,,,,,,
9,,29,,0.12317925691604614,1.7536908388137817,0.149741068482399,0.7686452269554138,0.022422388195991516
9,,29,0.07099762558937073,,,,,
