epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,29,,,0.1623232066631317,0.4517996311187744,0.17095153033733368,0.5943459868431091,0.0621439665555954
0,29,0.2696222960948944,,,,,,
1,49,,0.06004251539707184,,,,,
1,59,,,0.10677353292703629,0.29456159472465515,0.1145072728395462,0.35108482837677,0.056564461439847946
1,59,0.06106652319431305,,,,,,
2,89,,,0.1333148032426834,0.37153151631355286,0.13972237706184387,0.46196863055229187,0.04803112521767616
2,89,0.05269903689622879,,,,,,
3,99,,0.04399723932147026,,,,,
3,119,,,0.08482719212770462,0.23339171707630157,0.09431883692741394,0.2716611325740814,0.03839598223567009
3,119,0.049045760184526443,,,,,,
4,149,,0.05378150939941406,,,,,
4,149,,,0.11995894461870193,0.3349963128566742,0.12640239298343658,0.408725380897522,0.04652266204357147
4,149,0.048240937292575836,,,,,,
5,179,,,0.05985793471336365,0.16229768097400665,0.07015781104564667,0.18134373426437378,0.0384410060942173
5,179,0.04551057890057564,,,,,,
6,199,,0.039511539041996,,,,,
6,209,,,0.08937308937311172,0.24269862473011017,0.10029628872871399,0.2839403450489044,0.0343986377120018
6,209,0.042879268527030945,,,,,,
7,239,,,0.04586932435631752,0.1255093812942505,0.05508611351251602,0.13336698710918427,0.027463272213935852
7,239,0.04120117425918579,,,,,,
8,249,,0.0320611298084259,,,,,
8,269,,,0.05201902985572815,0.13946941494941711,0.06292835623025894,0.15311960875988007,0.032764118164777756
8,269,0.04083263874053955,,,,,,
9,299,,0.05423542484641075,,,,,
9,299,,,0.08647627383470535,0.23738479614257812,0.0943092480301857,0.2742169201374054,0.042731497436761856
9,299,0.03951553627848625,,,,,,
