epoch,lr-Adam,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0001,0,,,,,,
0,,2,,0.3310146927833557,2.8302345275878906,0.3548656702041626,1.8581171035766602,0.12592963874340057
0,,2,0.7636203169822693,,,,,
,0.0001,3,,,,,,
1,,5,,0.2573244571685791,2.037712335586548,0.2871525287628174,1.8091654777526855,0.08245658129453659
1,,5,0.6592169404029846,,,,,
,0.0001,6,,,,,,
2,,8,,0.1909002810716629,1.3093706369400024,0.22017839550971985,1.8365330696105957,0.04847852513194084
2,,8,0.553827702999115,,,,,
,0.0001,9,,,,,,
3,,11,,0.13007749617099762,0.7841140627861023,0.1607428342103958,1.1804208755493164,0.025838257744908333
3,,11,0.4705614447593689,,,,,
,0.0001,12,,,,,,
4,,14,,0.10188183933496475,0.9541594982147217,0.12665514647960663,0.7521111369132996,0.016041526570916176
4,,14,0.39380013942718506,,,,,
,0.0001,15,,,,,,
5,,17,,0.11190804094076157,1.4986027479171753,0.13600797951221466,0.7439872622489929,0.018498169258236885
5,,17,0.33165714144706726,,,,,
